Name	Vendor	SKU	Parental	Наличие	stock_status	Images	Manufacturer	Attribute name 	Attribute values	price	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Attribute name 	Attribute values	Categories 	Tags	Brand	Description	Availability	Attribute name 	Attribute values
  MONE 02 ПГ	FLYDOORS	FLYDOORS MONE 02 000179	FLYDOORS MONE 02 000176	в наличии	instock	https://lk.prdveri.ru/media/products_images/bb/bb43a24a-6ee0-11ed-ab48-ac1f6bdc43ac/T0000000293.JPEG	FLYDOORS>MONE	Размер		11760	Цвет	Серый	Остекление	Без остекления	Вид двери	Глухая	Молдинг	ПВХ Черный	В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 72 ПГ	FLYDOORS	FLYDOORS MONE 72 000180		в наличии	instock	https://lk.prdveri.ru/media/products_images/0b/0b1e76f4-d658-11f0-ab6b-ac1f6bdc43ac/U0000008028.JPEG	FLYDOORS>MONE М	Размер	60*200|70*200| 80*200| 90*200	9800	Цвет	Белый	Остекление	Без остекления	Вид двери	Глухая	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE M	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 72 ПГ	FLYDOORS	FLYDOORS MONE 72 000181	FLYDOORS MONE 72 000180	в наличии	instock	https://lk.prdveri.ru/media/products_images/0b/0b1e76f4-d658-11f0-ab6b-ac1f6bdc43ac/U0000008028.JPEG	FLYDOORS>MONE М	Размер		9800	Цвет	Белый	Остекление	Без остекления	Вид двери	Глухая	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE M	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 72 ПГ	FLYDOORS	FLYDOORS MONE 72 000182	FLYDOORS MONE 72 000180	в наличии	instock		FLYDOORS>MONE М	Размер		9800	Цвет	Серебристый 	Остекление	Без остекления	Вид двери	Глухая	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE M	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 82 ПГ	FLYDOORS	FLYDOORS MONE 82 000183		в наличии	instock	https://lk.prdveri.ru/media/products_images/4a/4a399b10-d65a-11f0-ab6b-ac1f6bdc43ac/U0000008044.JPEG	FLYDOORS>MONE М	Размер	60*200|70*200| 80*200| 90*200	9800	Цвет	Белый	Остекление	Без остекления	Вид двери	Глухая	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE M	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 82 ПГ	FLYDOORS	FLYDOORS MONE 82 000184	FLYDOORS MONE 82 000183	в наличии	instock	https://lk.prdveri.ru/media/products_images/4a/4a399b10-d65a-11f0-ab6b-ac1f6bdc43ac/U0000008044.JPEG	FLYDOORS>MONE М	Размер		9800	Цвет	Белый	Остекление	Без остекления	Вид двери	Глухая	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE M	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 82 ПГ	FLYDOORS	FLYDOORS MONE 82 000185	FLYDOORS MONE 82 000183	в наличии	instock	https://lk.prdveri.ru/media/products_images/85/851ab0dc-31aa-11ee-ab59-ac1f6bdc43ac/U0000001941.JPEG	FLYDOORS>MONE М	Размер		9800	Цвет	Серебристый 	Остекление	Без остекления	Вид двери	Глухая	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE M	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 92 ПГ	FLYDOORS	FLYDOORS MONE 92 000186		в наличии	instock	https://i.oneme.ru/i?r=BTE2sh_eZW7g8kugOdIm2Not-444ANEipHKshnUhdGl3ElNwpf3x26AmVSDjgBLOWn8	FLYDOORS>MONE М	Размер	60*200|70*200| 80*200| 90*200	9800	Цвет	Белый	Остекление	Без остекления	Вид двери	Глухая	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE M	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 92 ПГ	FLYDOORS	FLYDOORS MONE 92 000187	FLYDOORS MONE 92 000186	в наличии	instock	https://i.oneme.ru/i?r=BTE2sh_eZW7g8kugOdIm2Not-444ANEipHKshnUhdGl3ElNwpf3x26AmVSDjgBLOWn8	FLYDOORS>MONE М	Размер		9800	Цвет	Белый	Остекление	Без остекления	Вид двери	Глухая	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE M	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 92 ПГ	FLYDOORS	FLYDOORS MONE 92 000188	FLYDOORS MONE 92 000186	в наличии	instock	https://lk.prdveri.ru/media/products_images/80/801d8687-d65b-11f0-ab6b-ac1f6bdc43ac/U0000008053.JPEG	FLYDOORS>MONE М	Размер		9800	Цвет	Серебристый 	Остекление	Без остекления	Вид двери	Глухая	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE M	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 93 ПГ	FLYDOORS	FLYDOORS MONE 93 000189		в наличии	instock	https://lk.prdveri.ru/media/products_images/e2/e23651c8-31aa-11ee-ab59-ac1f6bdc43ac/U0000001951_EoGdWqT.JPEG	FLYDOORS>MONE М	Размер	60*200|70*200| 80*200| 90*200	10010	Цвет	Белый	Остекление	Матовое ромб	Вид двери	Остекленная	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE M	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 93 ПГ	FLYDOORS	FLYDOORS MONE 93 000190	FLYDOORS MONE 93 000189	в наличии	instock	https://lk.prdveri.ru/media/products_images/e2/e23651c8-31aa-11ee-ab59-ac1f6bdc43ac/U0000001951_EoGdWqT.JPEG	FLYDOORS>MONE М	Размер		10010	Цвет	Белый	Остекление	Матовое ромб	Вид двери	Остекленная	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE M	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Премиальный конструктив: объединяет в себе царговую конструкцию из профиля, выполненного на основе высококачественного соснового бруса и МДФ по бескромочной технологии. В профиле отсутствуют пустоты, что придает бОльшую прочность изделиям.	в наличии	Производитель	FLAI DOORS
  MONE 93 ПГ	FLYDOORS	FLYDOORS MONE 93 000191	FLYDOORS MONE 93 000189	в наличии	instock	https://lk.prdveri.ru/media/products_images/26/267c9650-31ab-11ee-ab59-ac1f6bdc43ac/U0000001955_5uNNO5q.JPEG	FLYDOORS>MONE М	Размер		10010	Цвет	Серебристый 	Остекление	Матовое ромб	Вид двери	Остекленная	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	MONE M	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Конструкция: Царговая. Основной особенностью царговых полотен является то, что "укутка" стоевых деталей выполняются по бескромочной технологии, что исключает попадание влаги под покрытие полотна и защищает от разбухания и вздутия. Конструктивный элемент состоит из переклееного массива хвойных пород древесины и МДФ, преимущество - физические параметры дверей не изменяются в процессе эксплуатации.	в наличии	Производитель	FLAI DOORS
  ESTETIC 01 	FLYDOORS	FLYDOORS ESTETIC 01 000056		в наличии	instock	https://lk.prdveri.ru/media/products_images/93/936c992c-cada-11ec-ab42-ac1f6bdc43ac/81190.JPEG	FLYDOORS>ESTETIC	Размер	60*200|70*200| 80*200| 90*200	8260	Цвет	Белый	Остекление	Без остекления	Вид двери	Глухая	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	ESTETIC	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Конструкция: Царговая. Основной особенностью царговых полотен является то, что "укутка" стоевых деталей выполняются по бескромочной технологии, что исключает попадание влаги под покрытие полотна и защищает от разбухания и вздутия. Конструктивный элемент состоит из переклееного массива хвойных пород древесины и МДФ, преимущество - физические параметры дверей не изменяются в процессе эксплуатации.	в наличии	Производитель	FLAI DOORS
  ESTETIC 01 	FLYDOORS	FLYDOORS ESTETIC 01 000057	FLYDOORS ESTETIC 01 000056	в наличии	instock	https://lk.prdveri.ru/media/products_images/93/936c992c-cada-11ec-ab42-ac1f6bdc43ac/81190.JPEG	FLYDOORS>ESTETIC	Размер		8260	Цвет	Белый	Остекление	Без остекления	Вид двери	Глухая	Молдинг		В комплекте		Кромка		Толщина полотна	36	Конструкция	Царговая	Покрытие	Эмалит 	Коллекция	ESTETIC	Межкомнатные двери>Царговые	FLYDOORS	FLYDOORS	Конструкция: Царговая. Основной особенностью царговых полотен является то, что "укутка" стоевых деталей выполняются по бескромочной технологии, что исключает попадание влаги под покрытие полотна и защищает от разбухания и вздутия. Конструктивный элемент состоит из переклееного массива хвойных пород древесины и МДФ, преимущество - физические параметры дверей не изменяются в процессе эксплуатации.	в наличии	Производитель	FLAI DOORS
