"Type","SKU","Name","Published","Is featured","Visibility in catalog","Short description","Description","Date sale price starts at","Date sale price ends at","Tax status","Tax class","In stock?","Stock","Backorders allowed?","Low stock amount threshold","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 1 global","Attribute 2 global","Attribute 3 global","Attribute 1 default attribute","Attribute 2 default attribute","Attribute 3 default attribute","Is variant"
"","тандор Пантеон 000039","Пантеон термо Темно-","1","0","visible","Темно-серый / 860x2050 / Левое Входные двери с зеркалом","Темно-серый / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","860x2050","","","yes","","","","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/385/d77mg9ixgdywzrotuuh7tfznamz5trfg/440_550_1/2_panteon_termo_zerkalo__25_05_2026__04_34_24.jpg,https://tandoor.ru/upload/resize_cache/iblock/f38/q9ndo9i7pokm7jrh6ys3aalyz3izk14e/440_550_1/1_panteon_termo_zerkalo__25_05_2026__04_34_22.jpg,https://tandoor.ru/upload/resize_cache/iblock/385/d77mg9ixgdywzrotuuh7tfznamz5trfg/440_550_1/2_panteon_termo_zerkalo__25_05_2026__04_34_24.webp,https://tandoor.ru/upload/resize_cache/iblock/f38/q9ndo9i7pokm7jrh6ys3aalyz3izk14e/440_550_1/1_panteon_termo_zerkalo__25_05_2026__04_34_22.webp","","","тандор Пантеон 000047","","","","","","","Цвет","","0","Размер","860x2050","0","Направление","Левая","0","","","","","","","1"
"","тандор Пантеон 000041","Пантеон термо Темно-","1","0","visible","Темно-серый / 860x2050 / Левое Входные двери с зеркалом","Темно-серый / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","860x2050","","","yes","","","","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/385/d77mg9ixgdywzrotuuh7tfznamz5trfg/440_550_1/2_panteon_termo_zerkalo__25_05_2026__04_34_24.jpg,https://tandoor.ru/upload/resize_cache/iblock/f38/q9ndo9i7pokm7jrh6ys3aalyz3izk14e/440_550_1/1_panteon_termo_zerkalo__25_05_2026__04_34_22.jpg,https://tandoor.ru/upload/resize_cache/iblock/385/d77mg9ixgdywzrotuuh7tfznamz5trfg/440_550_1/2_panteon_termo_zerkalo__25_05_2026__04_34_24.webp,https://tandoor.ru/upload/resize_cache/iblock/f38/q9ndo9i7pokm7jrh6ys3aalyz3izk14e/440_550_1/1_panteon_termo_zerkalo__25_05_2026__04_34_22.webp","","","тандор Пантеон 000047","","","","","","","Цвет","","0","Размер","860x2050","0","Направление","Правая","0","","","","","","","1"
"","тандор Пантеон 000043","Пантеон термо Темно-","1","0","visible","Темно-серый / 860x2050 / Левое Входные двери с зеркалом","Темно-серый / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","960x2050","","","yes","","","","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/385/d77mg9ixgdywzrotuuh7tfznamz5trfg/440_550_1/2_panteon_termo_zerkalo__25_05_2026__04_34_24.jpg,https://tandoor.ru/upload/resize_cache/iblock/f38/q9ndo9i7pokm7jrh6ys3aalyz3izk14e/440_550_1/1_panteon_termo_zerkalo__25_05_2026__04_34_22.jpg,https://tandoor.ru/upload/resize_cache/iblock/385/d77mg9ixgdywzrotuuh7tfznamz5trfg/440_550_1/2_panteon_termo_zerkalo__25_05_2026__04_34_24.webp,https://tandoor.ru/upload/resize_cache/iblock/f38/q9ndo9i7pokm7jrh6ys3aalyz3izk14e/440_550_1/1_panteon_termo_zerkalo__25_05_2026__04_34_22.webp","","","тандор Пантеон 000047","","","","","","","Цвет","","0","Размер","960x2050","0","Направление","Левая","0","","","","","","","1"
"","тандор Пантеон 000045","Пантеон термо Темно-","1","0","visible","Темно-серый / 860x2050 / Левое Входные двери с зеркалом","Темно-серый / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","960x2050","","","yes","","","","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/385/d77mg9ixgdywzrotuuh7tfznamz5trfg/440_550_1/2_panteon_termo_zerkalo__25_05_2026__04_34_24.jpg,https://tandoor.ru/upload/resize_cache/iblock/f38/q9ndo9i7pokm7jrh6ys3aalyz3izk14e/440_550_1/1_panteon_termo_zerkalo__25_05_2026__04_34_22.jpg,https://tandoor.ru/upload/resize_cache/iblock/385/d77mg9ixgdywzrotuuh7tfznamz5trfg/440_550_1/2_panteon_termo_zerkalo__25_05_2026__04_34_24.webp,https://tandoor.ru/upload/resize_cache/iblock/f38/q9ndo9i7pokm7jrh6ys3aalyz3izk14e/440_550_1/1_panteon_termo_zerkalo__25_05_2026__04_34_22.webp","","","тандор Пантеон 000047","","","","","","","Цвет","","0","Размер","960x2050","0","Направление","Правая","0","","","","","","","1"
"variable","тандор Пантеон 000046","Пантеон кварц","1","0","visible","черный кварц / 860x2050 / Левое Входные двери с зеркалом","черный кварц / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","","","10.0","yes","","","30460.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/874/rpdx7rhcvl2e2nc2878k2c1ov7425bj3/440_550_1/2_panteon_zerkalo__25_05_2026__04_34_09.jpg,https://tandoor.ru/upload/resize_cache/iblock/aad/7n4r5rn8v98e9h5vrbavbzohnvifgdks/440_550_1/1_panteon_zerkalo__25_05_2026__04_34_09.jpg,https://tandoor.ru/upload/resize_cache/iblock/874/rpdx7rhcvl2e2nc2878k2c1ov7425bj3/440_550_1/2_panteon_zerkalo__25_05_2026__04_34_09.webp,https://tandoor.ru/upload/resize_cache/iblock/aad/7n4r5rn8v98e9h5vrbavbzohnvifgdks/440_550_1/1_panteon_zerkalo__25_05_2026__04_34_09.webp","","","","","","","","","","pa_цвет","","0","pa_размер","","0","pa_направление","","0","yes","yes","yes","","","",""
"","тандор Пантеон 000048","Пантеон кварц","1","0","visible","черный кварц / 860x2050 / Левое Входные двери с зеркалом","черный кварц / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","860x2050","","","yes","","","30460.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/874/rpdx7rhcvl2e2nc2878k2c1ov7425bj3/440_550_1/2_panteon_zerkalo__25_05_2026__04_34_09.jpg,https://tandoor.ru/upload/resize_cache/iblock/aad/7n4r5rn8v98e9h5vrbavbzohnvifgdks/440_550_1/1_panteon_zerkalo__25_05_2026__04_34_09.jpg,https://tandoor.ru/upload/resize_cache/iblock/874/rpdx7rhcvl2e2nc2878k2c1ov7425bj3/440_550_1/2_panteon_zerkalo__25_05_2026__04_34_09.webp,https://tandoor.ru/upload/resize_cache/iblock/aad/7n4r5rn8v98e9h5vrbavbzohnvifgdks/440_550_1/1_panteon_zerkalo__25_05_2026__04_34_09.webp","","","тандор Пантеон 000046","","","","","","","Цвет","","0","Размер","860x2050","0","Направление","Левая","0","","","","","","","1"
"","тандор Пантеон 000050","Пантеон кварц","1","0","visible","черный кварц / 860x2050 / Левое Входные двери с зеркалом","черный кварц / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","860x2050","","","yes","","","30460.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/874/rpdx7rhcvl2e2nc2878k2c1ov7425bj3/440_550_1/2_panteon_zerkalo__25_05_2026__04_34_09.jpg,https://tandoor.ru/upload/resize_cache/iblock/aad/7n4r5rn8v98e9h5vrbavbzohnvifgdks/440_550_1/1_panteon_zerkalo__25_05_2026__04_34_09.jpg,https://tandoor.ru/upload/resize_cache/iblock/874/rpdx7rhcvl2e2nc2878k2c1ov7425bj3/440_550_1/2_panteon_zerkalo__25_05_2026__04_34_09.webp,https://tandoor.ru/upload/resize_cache/iblock/aad/7n4r5rn8v98e9h5vrbavbzohnvifgdks/440_550_1/1_panteon_zerkalo__25_05_2026__04_34_09.webp","","","тандор Пантеон 000046","","","","","","","Цвет","","0","Размер","860x2050","0","Направление","Правая","0","","","","","","","1"
"","тандор Пантеон 000052","Пантеон кварц","1","0","visible","черный кварц / 860x2050 / Левое Входные двери с зеркалом","черный кварц / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","960x2050","","","yes","","","30460.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/874/rpdx7rhcvl2e2nc2878k2c1ov7425bj3/440_550_1/2_panteon_zerkalo__25_05_2026__04_34_09.jpg,https://tandoor.ru/upload/resize_cache/iblock/aad/7n4r5rn8v98e9h5vrbavbzohnvifgdks/440_550_1/1_panteon_zerkalo__25_05_2026__04_34_09.jpg,https://tandoor.ru/upload/resize_cache/iblock/874/rpdx7rhcvl2e2nc2878k2c1ov7425bj3/440_550_1/2_panteon_zerkalo__25_05_2026__04_34_09.webp,https://tandoor.ru/upload/resize_cache/iblock/aad/7n4r5rn8v98e9h5vrbavbzohnvifgdks/440_550_1/1_panteon_zerkalo__25_05_2026__04_34_09.webp","","","тандор Пантеон 000046","","","","","","","Цвет","","0","Размер","960x2050","0","Направление","Левая","0","","","","","","","1"
"","тандор Пантеон 000054","Пантеон кварц","1","0","visible","черный кварц / 860x2050 / Левое Входные двери с зеркалом","черный кварц / 860x2050 / Левое Входные двери с зеркалом","","","taxable","","instock","","no","","no","","960x2050","","","yes","","","30460.00","по конструкции > с зеркалом","","","https://tandoor.ru/upload/resize_cache/iblock/874/rpdx7rhcvl2e2nc2878k2c1ov7425bj3/440_550_1/2_panteon_zerkalo__25_05_2026__04_34_09.jpg,https://tandoor.ru/upload/resize_cache/iblock/aad/7n4r5rn8v98e9h5vrbavbzohnvifgdks/440_550_1/1_panteon_zerkalo__25_05_2026__04_34_09.jpg,https://tandoor.ru/upload/resize_cache/iblock/874/rpdx7rhcvl2e2nc2878k2c1ov7425bj3/440_550_1/2_panteon_zerkalo__25_05_2026__04_34_09.webp,https://tandoor.ru/upload/resize_cache/iblock/aad/7n4r5rn8v98e9h5vrbavbzohnvifgdks/440_550_1/1_panteon_zerkalo__25_05_2026__04_34_09.webp","","","тандор Пантеон 000046","","","","","","","Цвет","","0","Размер","960x2050","0","Направление","Правая","0","","","","","","","1"
"variable","тандор Входные 000001","Входные двери в Краснодаре","1","0","visible","","","","","taxable","","instock","","no","","no","","","","","yes","","","","Uncategorized","","","https://tandoor.ru/upload/dev2fun_opengraph/846/5eha6jteev0a8sdpa2qp13d98bzwgf21.png","","","","","","","","","","pa_цвет","","0","pa_размер","","0","pa_направление","","0","yes","yes","yes","","","",""
"","тандор Входные 000002","Входные двери в Краснодаре","1","0","visible","","","","","taxable","","instock","","no","","no","","","","","yes","","","","Uncategorized","","","https://tandoor.ru/upload/dev2fun_opengraph/846/5eha6jteev0a8sdpa2qp13d98bzwgf21.png","","","тандор Входные 000001","","","","","","","Цвет","","0","Размер","","0","Направление","","0","","","","","","","1"
